modelo,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,roc_auc_weighted,f1_negativo,f1_neutro,f1_positivo,modelo_principal,insight_resumo,proveniencia
LogisticRegression,0.8585901002572044,0.6005021359107343,0.6679130591397273,0.6200185585038572,0.9155286829318069,0.950341418557926,0.7638978196060092,0.16783216783216784,0.9283256880733946,True,Modelo classico selecionado via validacao cruzada estratificada para uso operacional.,classic_runtime
LinearSVC,0.8863314261718545,0.613383667126588,0.6281028355199992,0.6196072367089985,0.9056574091859589,0.9492942711067964,0.7766384841398333,0.1408763172490294,0.9413069087381332,False,Baseline classico concorrente avaliado no mesmo criterio de robustez para comparacao.,classic_runtime
MultinomialNB,0.8974594509474568,0.5600952251744581,0.6005230725714179,0.5782669234357919,0.921647919176722,0.9526885376281062,0.790889547382488,0.0,0.9439112229248876,False,Baseline classico concorrente avaliado no mesmo criterio de robustez para comparacao.,classic_runtime
BERTimbau,0.8981481481481481,0.6020472593950605,0.6165900801261047,0.5926139251541569,0.9097107862947169,0.9490019250017344,0.8115702479338843,0.017094017094017096,0.9491775104345691,False,"Treino runtime em GPU com validacao dedicada, early stopping e melhor checkpoint carregado.",bertimbau_runtime
